слаг,назва_uk,назва_ru,категорія,знайдено_на,точність_категорії
boks-1000-ml-kraftbilij-1409065-mm,"Бокс 1000 мл, крафт/білий 140*90*65 мм","Бокс 1000 мл, крафт/белый140*90*65 мм",lanch-boksy,/catalog/Lanch-box,з категорії
boks-1200-ml-kraftbilij-18012050-mm,"Бокс 1200 мл, крафт/білий 180*120*50 мм","Бокс 1200 мл, крафт/белый180*120*50 мм",lanch-boksy,/catalog/Lanch-box,з категорії
boks-2100-ml-kraftbilij-21515048-mm,"Бокс 2100 мл, крафт/білий 215*150*48 мм","Бокс 2100 мл, крафт/белый 215*150*48 мм",lanch-boksy,/catalog/Lanch-box,з категорії
boks-500-ml-kraftbilij-1358540-mm,"Бокс 500 мл, крафт/білий 135*85*40 мм","Бокс 500 мл, крафт/белый135*85*40",lanch-boksy,/catalog/Lanch-box,з категорії
boks-750-ml-kraftbilij-15010045-mm,"Бокс 750 мл, крафт/білий 150*100*45 мм","Бокс 750 мл, крафт/белый150*100*45 мм",lanch-boksy,/catalog/Lanch-box,з категорії
boks-kraft-1000-ml-1409065-mm,Бокс KRAFT 1000 мл 140*90*65 мм,Бокс KRAFT 1000 мл 140*90*65 мм,lanch-boksy,/catalog/Lanch-box,з категорії
boks-kraft-1200-ml-18012050-mm-z-plastikovoyu-krishkoyu,Бокс KRAFT 1200 мл 180*120*50 мм,Бокс KRAFT 1200 мл 180*120*50 мм с пластиковой крышкой,lanch-boksy,/catalog/Lanch-box,з категорії
boks-kraft-2100-ml-21515048-mm-z-plastikovoyu-krishkoyu,Бокс KRAFT 2100 мл 215*150*48 мм,Бокс KRAFT 2100 мл 215*150*48 мм с пластиковой крышкой,lanch-boksy,/catalog/Lanch-box,з категорії
boks-kraft-500-ml-1358540-mm-z-plastikovoyu-krishkoyu,Бокс KRAFT 500 мл 135*85*40 мм,Бокс KRAFT 500 мл 135*85*40 мм с пластиковой крышкой,lanch-boksy,/catalog/Lanch-box,з категорії
boks-kraft-750-ml-15010045-mm-z-plastikovoyu-krishkoyu,Бокс KRAFT 750 мл 150*100*45 мм,Бокс KRAFT 750 мл 150*100*45 мм с пластиковой крышкой,lanch-boksy,/catalog/Lanch-box,з категорії
boks-kraft-c-oknom-1200-ml-20013850-mm,Бокс KRAFT з вікном 1600 мл 210*155*60 мм,Бокс KRAFT с окном 1200 мл 200*138*50 мм,,/all-products/page-all,зі списку всіх товарів
boks-kraft-z-viknom-1200-ml-20014050-mm,Бокс KRAFT з вікном 1200 мл 200*140*50 мм,Бокс KRAFT с окном 1200 мл 200*140*50 мм,,/all-products/page-all,зі списку всіх товарів
boks-kraft-z-viknom-500-ml-15010039-mm,Бокс KRAFT з вікном 500 мл 150*100*39 мм,Бокс KRAFT с окном 500 мл 150*100*39 мм,,/all-products/page-all,зі списку всіх товарів
boks-kraft-z-viknom-700-ml-16811845-mm,Бокс KRAFT з вікном 700 мл 168*118*45 мм,Бокс KRAFT с окном 700 мл 168*118*45 мм,,/all-products/page-all,зі списку всіх товарів
boks-kraft-z-viknom-900-ml-18813547-mm,Бокс KRAFT з вікном 900 мл 188*135*47 мм,Бокс KRAFT c окном 900 мл 188*135*47 мм,,/all-products/page-all,зі списку всіх товарів
calatnitsya-750-ml-kraft--145-mm-bilijkraft,"Салатниця 750 мл KRAFT / 145 мм 1РЕ, крафт/білий",Cалатница KRAFT 750 мл / 145 мм белый/крафт,salatnyky,/catalog/salatnik-z-plastikovoyu-krishkoyu,з категорії
calatnitsya-kraft-1000-ml--187-mm-bilijkraft,"Салатниця 1000 мл / 187 мм 2РЕ, крафт/білий",Cалатница 1000 мл / 187 мм белый/крафт 2РЕ,salatnyky,/catalog/salatnik-z-plastikovoyu-krishkoyu,з категорії
calatnitsya-kraft-1000ml-z-plastikovoyu-krishkoyu,"Салатниця 1000 мл KRAFT / 187 мм, 1РЕ",Салатница KRAFT 1000мл,salatnyky,/catalog/salatnik-z-plastikovoyu-krishkoyu,з категорії
calatnitsya-kraft-1350-ml--187-mm-bilijkraft,"Салатниця KRAFT 1350 мл / 187 мм 1РЕ, крафт/білий",Cалатница KRAFT 1350 мл / 187 мм белый/крафт,,/all-products/page-4,зі списку всіх товарів
calatnitsya-kraft-550-ml--142-mm-bilijkraft-z-krishkoyu,"Салатниця 550 мл / Ø 142 мм 1РЕ, крафт/білий (50/400)","Салатник 550 мл / Ø 142 мм 1РЕ, крафт/белый (50/400)",,/catalog/stolovij-posud,була група stolovij-posud
derzhatel-dlya-2-stakanov-22080175-mm,"Тримач на 2-а стакана, 220*80*175 мм (240)","Держатель для 2 стаканов, 220*80*175 мм",trymachi-dlya-stakaniv,/catalog/trimachi,з категорії
desertnitsya-pet-240-ml----95-mm-501000,"Десертниця PET 240 мл , / Ø 95 мм (50/1000)",Десертниця eco PET PREMIUM 250 мл,,/catalog/stakani-pet,була група stakani-pet
filtr-paket-serednij-bez-kartonnoi-korobki,"Фільтр пакет СЕРЕДНІЙ, без картонної коробки","Фильтр пакет СРЕДНИЙ, без картонной коробке",,/catalog/suputni-tovari,була група suputni-tovari
filtr-paket-serednij-v-kartonnij-korobtsi,Фільтр пакет СЕРЕДНІЙ в картонній коробці,Фильтр пакет СРЕДНИЙ в картонной коробке,,/catalog/suputni-tovari,була група suputni-tovari
filtr-paket-velikij-v-kartonnij-korobtsi,Фільтр пакет ВЕЛИКИЙ в картонній коробці,Фильтр пакет БОЛЬШОЙ в картонной коробке,,/catalog/suputni-tovari,була група suputni-tovari
kontejner-18012080-mm-samozbirnij-1re,Контейнер 180*120*80 мм самозбірний 1РЕ,Контейнер 180*120*80 мм самозбірний 1РЕ,lanch-boksy,/catalog/Lanch-box,з категорії
kontejner-bumazhnyj-1350-ml-dlya-salata-i-drugih-blyud-chernyjkraft,"Контейнер паперовий 1350 мл для салату та других страв /187 мм 1РЕ, чорний/крафт","Контейнер бумажный 1350 мл для салата и других блюд, черный/крафт",,/all-products/page-4,зі списку всіх товарів
kontejner-bumazhnyj-550-ml-dlya-salata-i-drugih-blyud-chpernyj,"Контейнер паперовий 550 мл / Ø 142 мм 2РЕ, чорний (50/400)","Контейнер бумажный 550 мл / Ø 142 мм 2РЕ, чорний (50/400)",,/catalog/stolovij-posud,була група stolovij-posud
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-14512058-mm-590-ml-100-shtup,Контейнер з алюмінієвої фольги прямокутний 145*120*58 мм (590 мл) 100 шт/уп,Контейнер из алюминиевой фольги прямоугольный 145*120*58 мм (590 мл) 100 шт/уп,,/,з головної
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-19014030-mm-650-ml-1251000,"Контейнер з алюмінієвої фольги прямокутний 190*140*30 мм (650 мл), 125/1000","Контейнер из алюминиевой фольги прямоугольный 190*140*30 мм (650 мл), 125/1000",,/all-products,зі списку всіх товарів
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-21615255-mm-1300-ml-100-shtup,Контейнер з алюмінієвої фольги прямокутний 216*152*55 мм (1300 мл) 100 шт/уп,Контейнер из алюминиевой фольги прямоугольный 216*152*55 мм (1300 мл) 100 шт/уп,,/all-products,зі списку всіх товарів
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-r14l-21811355-mm-1000ml-100-shtup,"Контейнер з алюмінієвої фольги прямокутний R14L 218*113*55 мм (1000мл), 100 шт/уп","Контейнер из алюминиевой фольги прямоугольный R14L 218*113*55 мм (1000мл), 100 шт/уп",,/all-products,зі списку всіх товарів
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-r26l-21615243-mm-980-ml-100-shtup,Контейнер з алюмінієвої фольги прямокутний R26L 216*152*43 мм (980 мл) 100 шт/уп,Контейнер из алюминиевой фольги прямоугольный R26L 216*152*43 мм (980 мл) 100 шт/уп,,/all-products,зі списку всіх товарів
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-r46l-14512040-mm-470-ml-100-shtup,Контейнер з алюмінієвої фольги прямокутний R46L 145*120*40 мм (470 мл) 100 шт/уп,Контейнер из алюминиевой фольги прямоугольный R46L 145*120*40 мм (470 мл) 100 шт/уп,,/,з головної
kontejner-iz-alyuminievoj-folgi-pryamougolnyj-r64l-24017056-mm-2000-ml-100-shtup,"Контейнер з алюмінієвої фольги прямокутний R64L 240*170*56 мм (2000 мл), 100 шт/уп","Контейнер из алюминиевой фольги прямоугольный R64L 240*170*56 мм (2000 мл), 100 шт/уп",,/all-products,зі списку всіх товарів
kontejner-paperovij-470-ml-dlya-supu-ta-drugih-strav-chornij,"Супник паперовий 470 мл / 110 мм 2РЕ, чорний-білий","Супник бумажный 470 мл для супа и вторых блюд с РР крышкой , черный-белый",supnyky,/catalog/supnik,з категорії
kontejner-paperovij-550-ml-dlya-salatu-ta-drugih-strav-chornij,"Контейнер паперовий 550 мл / Ø 142 мм 1РЕ, чорний/крафт (50/400)","Контейнер бумажный 550 мл / Ø 142 мм 1РЕ, чорний/крафт (50/400)",,/catalog/stolovij-posud,була група stolovij-posud
kontejner-paperovij-750-ml-dlya-salatu-ta-drugih-strav,"Контейнер паперовий 750 мл для салату та других страв / 145 мм 2РЕ, чорний",Контейнер бумажный 750 мл для салата и других блюд черный,salatnyky,/catalog/salatnik-z-plastikovoyu-krishkoyu,з категорії
kontejner-paperovij-750-ml-dlya-salatu-ta-drugih-strav-chornijkraft,"Контейнер паперовий 750 мл для салату та других страв / 145 мм 1РЕ, чорний/крафт",Контейнер бумажный 750 мл для салата та других блюд черный/крафт,salatnyky,/catalog/salatnik-z-plastikovoyu-krishkoyu,з категорії
korobka-18012080-mm-samosbornaya-belaya-100500,"Коробка 180*120*80 мм самозбірна, біла (100/500)","Коробка 180*120*80 мм самосборная, белая (100/500)",lanch-boksy,/catalog/Lanch-box,з категорії
korobka-18012080-mm-samozbirna,Коробка 180*120*80 мм самозбірна,Коробка 180*120*80 мм самозбірна,lanch-boksy,/catalog/Lanch-box,з категорії
korobka-18012080-mm-samozbirna-bila-100500,"Коробка 180*120*80 мм самозбірна, біла (100/500)","Коробка 180*120*80 мм самозбірна, біла (100/500)",lanch-boksy,/catalog/Lanch-box,з категорії
korobka-dlya-hachapuri-i-kaltsone-328h165h38-mm-kraft,"Коробка для хачапурі та кальцоне 328х165х38 мм, KRAFT","Коробка для хачапури и кальцоне 328х165х38 мм, KRAFT",,/catalog/upakovka-dlya-fast-fudu,була група upakovka-dlya-fast-fudu
korobka-dlya-lapshi-500-ml-1re--90-mmh-118-mm,Коробка для локшини 750 мл 2РЕ 90 мм / h 95 мм,Коробка для лапши 500 мл 1РЭ ø 90 мм/h 118 мм,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lapshi-500-ml-2pe-chernaya,Коробка для локшини 500 мл 2РЕ 82 мм / h 90 мм чорна,Коробка для лапши 500 мл 2РЕ ø 82 мм / h 90 мм черная,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lapshi-500-ml-2re--82-mm--h-90-mm-chernaya,Коробка для локшини 750 мл 2РЕ 95 мм / h 95 мм чорна,Коробка для лапши 750 мл 2РЕ ø 95 мм / h 95 мм черная,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lapshi-500-ml-500-ml-1re--82-mm--h-90-mm,Коробка для локшини 500 мл 1РЕ 82 мм / h 90 мм,Коробка для лапши 500 мл 1РЕ ø 82 мм / h 90 мм,,/,з головної
korobka-dlya-lokshini-500-ml-1re--90-mm--h-90-mm,"Коробка для локшини 500 мл 1РЕ 90 мм / h 90 мм, біла",Коробка для лапши 500 мл 1РЭ ø 90 мм/h 90 мм,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lokshini-500-ml-1re-82-mm--h-90-mm,"Коробка для локшини 500 мл 1РЕ 82 мм / h 90 мм, крафт","Коробка для лапши 500 мл 1РЕ ø 82 мм / h 90 мм, крафт-белый",upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lokshini-500-ml-2re--82-mm--h-90,"Коробка для локшини 500 мл 2РЕ 82 мм / h 90 мм, біла",Коробка для лапши 500 мл 2РЕ ø 82 мм / h 90 мм,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lokshini-600-ml-1re,Коробка для локшини 600 мл 1РЕ,Коробка для лапши 600 мл 1РЕ,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-lokshini-750-ml-1re-d-95-mm--h-95-mm-kraft-bilij,"Коробка для локшини 750 мл 1РЕ d 95 мм / h 95 мм, крафт-білий","Коробка для лапши 750 мл 1РЕ ø 95 мм / h 95 мм, крафт-белый",upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-nagetsiv-i-sushi-1308848-chorna,"Коробка для нагетсів і суші 130*88*48 мм, чорна",Коробка для нагетсов и суши 130*88*48 черная,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-nagetsiv-i-sushi-1308848-kraft,"Коробка для нагетсів і суші 130*88*48 мм, крафт",Коробка для нагетсов и суши 130*88*48 крафт,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-nagetsov-i-sushi-16510558-chernaya,"Коробка для нагетсів і суші 165*105*58 мм, чорна",Коробка для нагетсов и суши 165*105*58 черная,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-nagetsov-i-sushi-16510558-kraft,"Коробка для нагетсів і суші 165*105*58 мм, крафт",Коробка для нагетсов и суши 165*105*58 крафт,upakovka-dlya-sushi-ta-vok,/catalog/korobka-dlya-sushi-shidnoi-kuhni,з категорії
korobka-dlya-pitsi-30030040-kraft,"Коробка для піци 300*300*40 мм, KRAFT",Коробка для пиццы 300*300*40 KRAFT,,/catalog/upakovka-dlya-fast-fudu,була група upakovka-dlya-fast-fudu
korobka-dlya-pitsi-32032040-bila,"Коробка для піци 320*320*40 мм, біла",Коробка для пиццы 320*320*40 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-32032040-kraft,Коробка для піци 320*320*40 KRAFT,Коробка для пиццы KRAFT 320*320*40,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-35035040-kraft,Коробка для піци 350*350*40 KRAFT,Коробка для пиццы KRAFT 350*350*40,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-40040040-bila,"Коробка для піци 400*400*40 мм, біла",Коробка для пиццы 400*400*40 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-40040040-kraft,Коробка для піци 400*400*40 KRAFT,Коробка для пиццы 400*400*40 KRAFT,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-41041045-bila,"Коробка для піци 410*410*45 мм, біла",Коробка для пиццы 410*410*45 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-41041045-kraft,Коробка для піци 410*410*45 KRAFT,Коробка для пиццы 410*410*45 KRAFT,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-45045045-bila,Коробка для піци 450*450*45 біла,Коробка для пиццы 450*450*45 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-45045045-kraft,Коробка для піци 450*450*45 KRAFT,Коробка для пиццы 400*400*40 KRAFT,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-kraft-30030040-bila,"Коробка для піци 300*300*40 мм, біла",Коробка для пиццы 300*300*40 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-kraft-50050040,Коробка для піци KRAFT 500*500*40,Коробка для пиццы KRAFT 500*500*40,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitsi-kraft-50050040-bila,Коробка для піци KRAFT 500*500*40 біла,Коробка для пиццы KRAFT 500*500*40 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
korobka-dlya-pitstsy-kraft-35035040-belaya,"Коробка для піци 350*350*40 мм, біла",Коробка для пиццы 350*350*40 белая,korobky-dlya-pitsy,/catalog/korobka-dlya-pitsi,з категорії
krishka-bila-st-90,Кришка біла ST 90,Крышка ST 90 белая,kryshky-dlya-stakaniv,/catalog/krishki-dlya-stakaniv,з категорії
krishka-bila-st-91,Кришка біла ST 91,Крышка белая ST 91,kryshky-dlya-stakaniv,/catalog/krishki-dlya-stakaniv,з категорії
krishka-chorna-st-90,Кришка чорна ST 90,Крышка черная ST 90,kryshky-dlya-stakaniv,/catalog/krishki-dlya-stakaniv,з категорії
krishka-chorna-st-91,Кришка чорна ST 91,Крышка черная ST 91,kryshky-dlya-stakaniv,/catalog/krishki-dlya-stakaniv,з категорії
krishka-dlya-supnika-240360-ml-prozora-pp--91-mm-50750,"Кришка прозора PP, Ø 91 мм (50/750)","Крышка прозрачная PP, Ø 91 мм (50/750)",,/catalog/stolovij-posud,була група stolovij-posud
krishka-kartonfolga-do-kontejneru-r14l-218113-mm-1000ml-100-shtup,"Кришка (картон/фольга) до контейнеру R14L 218*113 мм (1000мл), 100 шт/уп","Крышка (картон/фольга) для контейнера R14L 218*113 мм (1000мл), 100 шт/уп",,/all-products,зі списку всіх товарів
krishka-kraft-170120-mm,Кришка KRAFT 170*120 мм,Крышка KRAFT 170*120 мм,,/all-products/page-5,зі списку всіх товарів
krishka-kupol-pet--95-mm-bez-otvoru--1001000,Кришка купол PET Ø 95 мм без отвору / (100/1000),Крышка купол PET 95 мм без отверстия,,/catalog/stakani-pet,була група stakani-pet
